algorithm,dataset,mrr,antimrr,cutoff
mostpopular,yahoo_observed,0.10668947237537227,0.150910332926955,10
itemknn,yahoo_observed,0.1398421341533684,0.11331495532871155,10
listrankmf,yahoo_observed,0.09432586688987148,0.09935169010923695,10
randomguess,yahoo_observed,0.004688665684080281,0.0094192580866253,10
slim,yahoo_observed,0.09145680562379072,0.06484713806551788,10
svdpp,yahoo_observed,0.028325402890744887,0.00881568013780471,10
ranksgd,yahoo_observed,0.08587350110086067,0.05314799145998992,10
userknn,yahoo_observed,0.15383997185678502,0.14628922005689296,10
smootheditemaverage,yahoo_observed,0.001245670857822176,0.0006545268725245798,10
optimalobservedprecision,yahoo_observed,0.10762383924401502,0.12692506565739275,10
optimalobservedantiprecision,yahoo_observed,0.000546563677056608,0.0002294976072201903,10
optimaltrueprecision,yahoo_observed,0.10818056237907213,0.12245824007860694,10
optimaltrueantiprecision,yahoo_observed,0.002334249200890393,0.0,10
optimaltrueprecisionrestricted,yahoo_observed,0.0032721036446676493,8.673447725797746e-05,10
optimaltrueantiprecisionrestricted,yahoo_observed,0.002334249200890393,0.0,10
pnmf,yahoo_observed,0.13072637092029527,0.16497329730516586,10
eals,yahoo_observed,0.0896089973373122,0.08604871384294387,10
gbpr,yahoo_observed,0.1501550454597837,0.16972269228669687,10
plsa,yahoo_observed,0.14646640403709565,0.11260947953248297,10
bpoissmf,yahoo_observed,0.007515648597994796,0.012544277040837987,10
wrmf,yahoo_observed,0.19734277101491468,0.16143067913702225,10
wbpr,yahoo_observed,0.06502735471975059,0.06533206264291476,10
