algorithm,dataset,ndcg,ndcl,cutoff
mostpopular,yahoo_observed,0.1134091282901214,0.07625546639429535,10
itemknn,yahoo_observed,0.13874188165366175,0.04803100283136574,10
listrankmf,yahoo_observed,0.10407027103553532,0.05685778072592571,10
randomguess,yahoo_observed,0.004440160123725221,0.0037765920753262783,10
slim,yahoo_observed,0.067372218679983,0.02070404421195687,10
svdpp,yahoo_observed,0.023897948084974655,0.005099949060617652,10
ranksgd,yahoo_observed,0.07684443957597777,0.019630241139280982,10
userknn,yahoo_observed,0.1619788239152611,0.06604939758152602,10
smootheditemaverage,yahoo_observed,0.0017100515755948764,0.0003621509967369343,10
optimalobservedprecision,yahoo_observed,0.11523503906874563,0.06607151135888352,10
optimalobservedantiprecision,yahoo_observed,0.0006594453106954818,0.0003175499384427978,10
optimaltrueprecision,yahoo_observed,0.11636262829967661,0.06628774260395594,10
optimaltrueantiprecision,yahoo_observed,0.0008960469523670099,0.0,10
pnmf,yahoo_observed,0.13020966864375974,0.08260504369625073,10
eals,yahoo_observed,0.07465975130132697,0.03556583599193422,10
gbpr,yahoo_observed,0.16667474187464698,0.06910287852154758,10
plsa,yahoo_observed,0.13649189522352215,0.0521347519044401,10
bpoissmf,yahoo_observed,0.002407665976946791,0.002433957113430045,10
wrmf,yahoo_observed,0.194641040852505,0.0706301216733988,10
wbpr,yahoo_observed,0.05357947692720502,0.02991466645804016,10
