algorithm,dataset,ndcg,ndcl,cutoff
mostpopular,yahoo_observed,0.11905945087173204,0.07000691429573914,10
itemknn,yahoo_observed,0.13689771552311275,0.04626119757466764,10
listrankmf,yahoo_observed,0.10882305941453946,0.05367491392249696,10
randomguess,yahoo_observed,0.0048214652062379135,0.004659330230951751,10
slim,yahoo_observed,0.0620390187414147,0.0206425647666044,10
svdpp,yahoo_observed,0.023708684912631537,0.004258288949833182,10
ranksgd,yahoo_observed,0.07569530295453182,0.02060703844020722,10
userknn,yahoo_observed,0.1560561090962382,0.06090668373291766,10
smootheditemaverage,yahoo_observed,0.002337563077515961,0.0001489430091498171,10
optimalobservedprecision,yahoo_observed,0.11810073714206398,0.05959975060532553,10
optimalobservedantiprecision,yahoo_observed,0.0012810219714314399,7.268740701966601e-05,10
optimaltrueprecision,yahoo_observed,0.1190743060358505,0.06141007253996308,10
optimaltrueantiprecision,yahoo_observed,0.0017402045697676501,0.0,10
pnmf,yahoo_observed,0.141876653997041,0.07560423442332902,10
eals,yahoo_observed,0.07052176868610502,0.03376600668048472,10
gbpr,yahoo_observed,0.16460732366727243,0.07318816598741916,10
plsa,yahoo_observed,0.12906360108482143,0.04401234472795097,10
bpoissmf,yahoo_observed,0.005889301881131054,0.0031053017928327916,10
wrmf,yahoo_observed,0.19540424108693094,0.06905067408139734,10
wbpr,yahoo_observed,0.05529974556725777,0.03000875086804003,10
