algorithm,dataset,ndcg,ndcl,cutoff
mostpopular,yahoo_observed,0.11948427020786198,0.07840045470664837,10
itemknn,yahoo_observed,0.1319603212247686,0.04949275464137174,10
listrankmf,yahoo_observed,0.10882882945995749,0.07041419801908685,10
randomguess,yahoo_observed,0.005158718920556957,0.0037097545615423,10
slim,yahoo_observed,0.06654718558306931,0.022254588381911976,10
svdpp,yahoo_observed,0.02475039196695235,0.005920464937453343,10
ranksgd,yahoo_observed,0.07850372873448305,0.020026475822412244,10
userknn,yahoo_observed,0.15515461531265912,0.06678210448123384,10
smootheditemaverage,yahoo_observed,0.0016764653793786167,0.0001439547410657362,10
optimalobservedprecision,yahoo_observed,0.11729122820916961,0.06703623847598059,10
optimalobservedantiprecision,yahoo_observed,0.0007914696804150456,0.00019181776895381102,10
optimaltrueprecision,yahoo_observed,0.12002115179327105,0.06895064010429615,10
optimaltrueantiprecision,yahoo_observed,0.0015036855523931235,0.0,10
pnmf,yahoo_observed,0.1349331408127719,0.08275961320805911,10
eals,yahoo_observed,0.07220349797014654,0.034362294992239834,10
gbpr,yahoo_observed,0.16387727707356378,0.07861320967423004,10
plsa,yahoo_observed,0.13447360676876136,0.04728571001109296,10
bpoissmf,yahoo_observed,0.003206700190346014,0.0022968253561502583,10
wrmf,yahoo_observed,0.191282315483799,0.06665649776381338,10
wbpr,yahoo_observed,0.06038453194407768,0.03335746249305173,10
