algorithm,dataset,mrr,antimrr,cutoff
mostpopular,yahoo_observed,0.10853277014622838,0.1526842419883903,10
itemknn,yahoo_observed,0.14123570412042977,0.11901886798178139,10
listrankmf,yahoo_observed,0.10044135541172436,0.11207696485845979,10
randomguess,yahoo_observed,0.004130291637460439,0.008119331336689394,10
slim,yahoo_observed,0.09119572572545236,0.05563353997687776,10
svdpp,yahoo_observed,0.029032886971139694,0.01128953461203509,10
ranksgd,yahoo_observed,0.08263162526209744,0.05474696027649574,10
userknn,yahoo_observed,0.16997956322655233,0.14135252903174908,10
smootheditemaverage,yahoo_observed,0.001626748959954848,0.0006472403528415763,10
optimalobservedprecision,yahoo_observed,0.11182108795853778,0.1309191541269538,10
optimalobservedantiprecision,yahoo_observed,0.0006044551255791936,0.00040084599442274834,10
optimaltrueprecision,yahoo_observed,0.11253516126389382,0.13060911294996558,10
optimaltrueantiprecision,yahoo_observed,0.0014137331476272406,0.0,10
optimaltrueprecisionrestricted,yahoo_observed,0.0019593965158866706,0.0,10
optimaltrueantiprecisionrestricted,yahoo_observed,0.0014137331476272406,0.0,10
pnmf,yahoo_observed,0.12634811396042517,0.16633098469745383,10
eals,yahoo_observed,0.08675486188867952,0.08575358136627492,10
gbpr,yahoo_observed,0.15920072036971292,0.1517191468443619,10
plsa,yahoo_observed,0.14320306597117913,0.11719495801889225,10
bpoissmf,yahoo_observed,0.0024608333105752334,0.004060879433657105,10
wrmf,yahoo_observed,0.19987065813389654,0.1689452075993846,10
wbpr,yahoo_observed,0.054002315257333414,0.05741337508686008,10
