algorithm,dataset,mrr,antimrr,cutoff
mostpopular,yahoo_observed,0.11000296478744753,0.14858229945873624,10
itemknn,yahoo_observed,0.1411749680715198,0.12274189624764337,10
listrankmf,yahoo_observed,0.10251041476616188,0.11789127592288512,10
randomguess,yahoo_observed,0.005222663139329806,0.00976464148877942,10
slim,yahoo_observed,0.08736757282734295,0.058488338502706315,10
svdpp,yahoo_observed,0.030345891868880377,0.01264869549352308,10
ranksgd,yahoo_observed,0.08837058322690507,0.055713449492185124,10
userknn,yahoo_observed,0.15480842911877393,0.14497232865048956,10
smootheditemaverage,yahoo_observed,0.0024372073222647932,0.00047717873867299157,10
optimalobservedprecision,yahoo_observed,0.11148026515842606,0.12633711913884327,10
optimalobservedantiprecision,yahoo_observed,0.0012888463175819496,0.00010110685398041717,10
optimaltrueprecision,yahoo_observed,0.11179240406251902,0.12905354862251414,10
optimaltrueantiprecision,yahoo_observed,0.0032375478927203064,0.0,10
optimaltrueprecisionrestricted,yahoo_observed,0.0033635893693364956,0.0,10
optimaltrueantiprecisionrestricted,yahoo_observed,0.0032375478927203064,0.0,10
pnmf,yahoo_observed,0.13385939305479536,0.16527564921243082,10
eals,yahoo_observed,0.08661063978592715,0.08553449796265887,10
gbpr,yahoo_observed,0.1515942194246792,0.15851053639846743,10
plsa,yahoo_observed,0.1338038222952016,0.11143252447850148,10
bpoissmf,yahoo_observed,0.005245165115854771,0.006180289484887186,10
wrmf,yahoo_observed,0.19558132640029194,0.1684051724137931,10
wbpr,yahoo_observed,0.05405332056194126,0.06113969470291309,10
