algorithm,dataset,ndcg,ndcl,cutoff
mostpopular,yahoo_observed,0.11367214967859371,0.07505300470080375,10
itemknn,yahoo_observed,0.13411866175067486,0.049164912774162885,10
listrankmf,yahoo_observed,0.09622280983046265,0.04740900945559117,10
randomguess,yahoo_observed,0.0046034564415719835,0.004317262761143162,10
slim,yahoo_observed,0.07044824047509651,0.0248395798980219,10
svdpp,yahoo_observed,0.01994107626515761,0.0035917482048030453,10
ranksgd,yahoo_observed,0.07542189373900894,0.018814385169912646,10
userknn,yahoo_observed,0.15553527796577785,0.06522208919630534,10
smootheditemaverage,yahoo_observed,0.0013357030739310264,0.00032443470514135803,10
optimalobservedprecision,yahoo_observed,0.11349216550229507,0.06520557795209826,10
optimalobservedantiprecision,yahoo_observed,0.0005249882792027937,0.00010984490492634824,10
optimaltrueprecision,yahoo_observed,0.11246774127508992,0.06400235958441776,10
optimaltrueantiprecision,yahoo_observed,0.001173581278095921,0.0,10
pnmf,yahoo_observed,0.13769414586862513,0.08111074518912999,10
eals,yahoo_observed,0.07234728392310523,0.03750845349126767,10
gbpr,yahoo_observed,0.16137620051712911,0.08090781171078854,10
plsa,yahoo_observed,0.13622539067892706,0.047453995770835866,10
bpoissmf,yahoo_observed,0.007032239238270098,0.006008131314443369,10
wrmf,yahoo_observed,0.19550113461178042,0.06998861238456013,10
wbpr,yahoo_observed,0.06278385187421012,0.031808741749312835,10
