algorithm,dataset,mrr,antimrr,cutoff
mostpopular,yahoo_observed,0.10875828140871122,0.15170813056199875,10
itemknn,yahoo_observed,0.14592797258986373,0.1124468246388017,10
listrankmf,yahoo_observed,0.10438653143524206,0.11727695153196584,10
randomguess,yahoo_observed,0.0072954473097739565,0.009504707327056897,10
slim,yahoo_observed,0.09074892739649186,0.05586066008702112,10
svdpp,yahoo_observed,0.03168364639711344,0.011886341929321873,10
ranksgd,yahoo_observed,0.09300003032094722,0.056395521596094664,10
userknn,yahoo_observed,0.16049642970846412,0.1452598505177302,10
smootheditemaverage,yahoo_observed,0.0015552371856096783,0.0005672291202377162,10
optimalobservedprecision,yahoo_observed,0.116147723654887,0.12608132078046116,10
optimalobservedantiprecision,yahoo_observed,0.0005836782341080335,0.00032155364533588025,10
optimaltrueprecision,yahoo_observed,0.11639195888479556,0.12219159806552356,10
optimaltrueantiprecision,yahoo_observed,0.001051909461651582,0.0,10
optimaltrueprecisionrestricted,yahoo_observed,0.0010842770728157548,0.0,10
optimaltrueantiprecisionrestricted,yahoo_observed,0.001051909461651582,0.0,10
pnmf,yahoo_observed,0.13047050529858553,0.1640767271569564,10
eals,yahoo_observed,0.08289519564591198,0.09481701308348874,10
gbpr,yahoo_observed,0.15521906884371067,0.17397121026060852,10
plsa,yahoo_observed,0.1348513515562226,0.09591372174466731,10
bpoissmf,yahoo_observed,0.0029111899455738994,0.005590500447233971,10
wrmf,yahoo_observed,0.20114332711753916,0.1574531162353512,10
wbpr,yahoo_observed,0.05856255969436485,0.06832423704916542,10
