algorithm,dataset,ndcg,ndcl,cutoff
mostpopular,yahoo_true,0.017593883059923484,0.006274320130742512,10
itemknn,yahoo_true,0.022612109360069348,0.0044517999062553245,10
listrankmf,yahoo_true,0.01844852640961047,0.006369639458138043,10
randomguess,yahoo_true,0.0037304787345530605,0.008846187226083943,10
slim,yahoo_true,0.015604959919180724,0.005537734787515279,10
svdpp,yahoo_true,0.00949161301585276,0.007883528354410224,10
ranksgd,yahoo_true,0.018577442681140297,0.005540404095723957,10
userknn,yahoo_true,0.023912457009908197,0.00414158038398904,10
smootheditemaverage,yahoo_true,0.005928450653825811,0.008746623955679458,10
optimalobservedprecision,yahoo_true,0.019231019679037356,0.006044140025067792,10
optimalobservedantiprecision,yahoo_true,0.0031617389801100373,0.010105865761872848,10
optimaltrueprecision,yahoo_true,0.020415344382190594,0.005955676475160147,10
optimaltrueantiprecision,yahoo_true,0.010600872369000673,0.0037251367088972725,10
pnmf,yahoo_true,0.0190915063768461,0.006128819138198312,10
eals,yahoo_true,0.016717593898071998,0.0045368465026889605,10
gbpr,yahoo_true,0.0253168258828143,0.004818280958665123,10
plsa,yahoo_true,0.022392284801087525,0.004938591124381043,10
bpoissmf,yahoo_true,0.002991693105996153,0.009837364005862064,10
wrmf,yahoo_true,0.030017419639261935,0.004143089805077278,10
wbpr,yahoo_true,0.01124446241699532,0.007456693367675643,10
