algorithm,dataset,ndcg,ndcl,cutoff
mostpopular,yahoo_true,0.01743986850735258,0.006365662003820866,10
itemknn,yahoo_true,0.023510874446398676,0.004243472511230174,10
listrankmf,yahoo_true,0.019292617919121607,0.006762548758316419,10
randomguess,yahoo_true,0.0040185498642200165,0.008990081102881502,10
slim,yahoo_true,0.015758276063478703,0.005648045489642135,10
svdpp,yahoo_true,0.009491901280853057,0.007563728974449051,10
ranksgd,yahoo_true,0.0174394787061745,0.005720978845763015,10
userknn,yahoo_true,0.02357366488682967,0.00450549291604085,10
smootheditemaverage,yahoo_true,0.00550426292878768,0.008880937554975956,10
optimalobservedprecision,yahoo_true,0.019182713362956762,0.006185748318968597,10
optimalobservedantiprecision,yahoo_true,0.0024609991968641332,0.009907027352444666,10
optimaltrueprecision,yahoo_true,0.020369599961113354,0.005926219817315805,10
optimaltrueantiprecision,yahoo_true,0.011056001915019154,0.003651575667625453,10
pnmf,yahoo_true,0.021105798311483962,0.005898156177297079,10
eals,yahoo_true,0.01739133829185661,0.004901796475709843,10
gbpr,yahoo_true,0.024283140500315374,0.004738446112176712,10
plsa,yahoo_true,0.02041633674872372,0.00552973561398776,10
bpoissmf,yahoo_true,0.0032185317425945425,0.010127348094075728,10
wrmf,yahoo_true,0.029937234250637195,0.0038484606078704325,10
wbpr,yahoo_true,0.01256286609461311,0.007237546095577756,10
