algorithm,dataset,ndcg,ndcl,cutoff
mostpopular,yahoo_true,0.017691924113694447,0.00627382288152463,10
itemknn,yahoo_true,0.0233836904910059,0.004204025297839491,10
listrankmf,yahoo_true,0.017589218561327162,0.006435551547122278,10
randomguess,yahoo_true,0.004206978742606323,0.009118993493064869,10
slim,yahoo_true,0.01593821688099897,0.0061598657282339,10
svdpp,yahoo_true,0.009988157531421094,0.007735861722855572,10
ranksgd,yahoo_true,0.018023585638430047,0.004786734548899136,10
userknn,yahoo_true,0.02556077580278478,0.004659821815588611,10
smootheditemaverage,yahoo_true,0.005053365978092513,0.00879820350395683,10
optimalobservedprecision,yahoo_true,0.01876831705674574,0.006076485671480617,10
optimalobservedantiprecision,yahoo_true,0.0033401311135975477,0.009526823789907726,10
optimaltrueprecision,yahoo_true,0.020381554303949476,0.005913179178252599,10
optimaltrueantiprecision,yahoo_true,0.010564080476151368,0.003724665877466083,10
pnmf,yahoo_true,0.020193578057040626,0.005896995623903745,10
eals,yahoo_true,0.018464716557014503,0.004935974063334593,10
gbpr,yahoo_true,0.02343737301636358,0.005123748368320372,10
plsa,yahoo_true,0.02234563805976023,0.005246583214595597,10
bpoissmf,yahoo_true,0.0041176220903148915,0.008338847152075966,10
wrmf,yahoo_true,0.03183664506854424,0.004328999305749912,10
wbpr,yahoo_true,0.011863624733736623,0.007374377248055602,10
