algorithm,dataset,ndcg,ndcl,cutoff
mostpopular,yahoo_true,0.017465703862380572,0.006318900653132369,10
itemknn,yahoo_true,0.023294035936301093,0.00400560864023608,10
listrankmf,yahoo_true,0.01964602655867801,0.006555774886760624,10
randomguess,yahoo_true,0.0047404900092224535,0.00840831245088845,10
slim,yahoo_true,0.014798345152197237,0.005971423720935496,10
svdpp,yahoo_true,0.00853188287481682,0.007131673218238987,10
ranksgd,yahoo_true,0.01958798987035618,0.004978795642781726,10
userknn,yahoo_true,0.024030019538044213,0.004800778221222088,10
smootheditemaverage,yahoo_true,0.005839991203192874,0.008473693857383825,10
optimalobservedprecision,yahoo_true,0.01918080133991183,0.0061591829485798015,10
optimalobservedantiprecision,yahoo_true,0.002597359221853107,0.010188901980936716,10
optimaltrueprecision,yahoo_true,0.020050764999859586,0.00585084852351057,10
optimaltrueantiprecision,yahoo_true,0.010605953541342129,0.00373215509632455,10
pnmf,yahoo_true,0.020957283848964,0.005989386211663849,10
eals,yahoo_true,0.01634806575833935,0.005424867802719996,10
gbpr,yahoo_true,0.025890896020531653,0.004886369768396712,10
plsa,yahoo_true,0.022143263607307458,0.0050922835755729205,10
bpoissmf,yahoo_true,0.004151792085937442,0.00843486998063788,10
wrmf,yahoo_true,0.030239636041443856,0.004215157450667988,10
wbpr,yahoo_true,0.010931564148287134,0.0074062492301495,10
