algorithm,dataset,mrr,antimrr,cutoff
mostpopular,yahoo_true,0.02090432098765432,0.018289756025867136,10
itemknn,yahoo_true,0.02641078777189888,0.01187904174015285,10
listrankmf,yahoo_true,0.02202285420340976,0.019520723104056437,10
randomguess,yahoo_true,0.007281599059376837,0.021985964138741914,10
slim,yahoo_true,0.018460978835978838,0.016814226925338037,10
svdpp,yahoo_true,0.01085765726043504,0.019685479129923574,10
ranksgd,yahoo_true,0.021647633744855965,0.01366196355085244,10
userknn,yahoo_true,0.02632818930041152,0.014038212815990594,10
smootheditemaverage,yahoo_true,0.007538506760728983,0.0230896531452087,10
optimalobservedprecision,yahoo_true,0.022718915343915343,0.018504188712522046,10
optimalobservedantiprecision,yahoo_true,0.003783656672545561,0.0256603468547913,10
optimaltrueprecision,yahoo_true,0.023448559670781893,0.01768555261610817,10
optimaltrueantiprecision,yahoo_true,0.013051293356848912,0.010022119341563787,10
optimaltrueprecisionrestricted,yahoo_true,0.02112661669606114,0.012126984126984128,10
optimaltrueantiprecisionrestricted,yahoo_true,0.02112661669606114,0.012126984126984128,10
pnmf,yahoo_true,0.025180922986478543,0.018107730746619633,10
eals,yahoo_true,0.01958553791887125,0.014939741328630218,10
gbpr,yahoo_true,0.02778387713109935,0.015401822457378013,10
plsa,yahoo_true,0.024762272192827745,0.014307539682539682,10
bpoissmf,yahoo_true,0.006780276308054085,0.022036816578483245,10
wrmf,yahoo_true,0.03281459435626102,0.013383303938859493,10
wbpr,yahoo_true,0.01269892710170488,0.020633303938859496,10
