algorithm,dataset,ndcg,ndcl,cutoff
mostpopular,movielens1M,0.1495148383257562,0.012814314324369261,10
itemknn,movielens1M,0.15424974679803852,0.005467622276213417,10
listrankmf,movielens1M,0.13793999493384237,0.00810947621379343,10
randomguess,movielens1M,0.004899277708441246,0.0016666558136621222,10
slim,movielens1M,0.21685601672117566,0.007493925208139447,10
svdpp,movielens1M,0.09302841561958912,0.0013293934360164728,10
ranksgd,movielens1M,0.21018151567325424,0.005159823962074384,10
userknn,movielens1M,0.14976333970623895,0.011367058561449438,10
smootheditemaverage,movielens1M,0.021577407438347004,0.0007811183471836589,10
optimalobservedprecision,movielens1M,0.15396430161033003,0.010540604948487454,10
optimalobservedantiprecision,movielens1M,0.000291302367080382,2.2046729102854848e-05,10
optimaltrueprecision,movielens1M,0.15526719902379618,0.010624427143924158,10
optimaltrueantiprecision,movielens1M,0.00014025324640995615,0.0,10
pnmf,movielens1M,0.14661562835473824,0.012735295898496268,10
eals,movielens1M,0.21447275950348746,0.033386273376703746,10
gbpr,movielens1M,0.23071073621963029,0.026434869962829843,10
plsa,movielens1M,0.23678533613061498,0.011929645974151377,10
bpoissmf,movielens1M,0.011581787638504728,0.004458277918277108,10
wrmf,movielens1M,0.28157926467878586,0.021262292536844293,10
wbpr,movielens1M,0.07230167131660786,0.009378234848691356,10
