algorithm,dataset,ndcg,ndcl,cutoff
mostpopular,movielens1M,0.1520019060232079,0.015298289060020542,10
itemknn,movielens1M,0.15806934816737994,0.005284883125128691,10
listrankmf,movielens1M,0.1408688569626166,0.010309264011230022,10
randomguess,movielens1M,0.004617495111335654,0.001680865990001772,10
slim,movielens1M,0.22032747331292948,0.00966750683372295,10
svdpp,movielens1M,0.09743317991115193,0.001970433544354477,10
ranksgd,movielens1M,0.21025824721265718,0.005945849858759998,10
userknn,movielens1M,0.1505063270146666,0.011771554683185971,10
smootheditemaverage,movielens1M,0.0240865835935561,0.0008224690518216859,10
optimalobservedprecision,movielens1M,0.15687982919503443,0.013103277014373535,10
optimalobservedantiprecision,movielens1M,1.9929832529277557e-05,0.0,10
optimaltrueprecision,movielens1M,0.15648232569858225,0.013489948602756732,10
optimaltrueantiprecision,movielens1M,0.0002948028403756458,0.0,10
pnmf,movielens1M,0.14948700833452172,0.016120983678983507,10
eals,movielens1M,0.21702074155814896,0.036440233969602526,10
gbpr,movielens1M,0.23401422649657164,0.026314943600965767,10
plsa,movielens1M,0.2422275377158387,0.011990453580110891,10
bpoissmf,movielens1M,0.02595546303043132,0.0021317341346591945,10
wrmf,movielens1M,0.2838263026726334,0.021706306038251796,10
wbpr,movielens1M,0.06563389355039059,0.009329189564217508,10
