algorithm,dataset,mrr,antimrr,cutoff
mostpopular,movielens1M,0.32633347277802777,0.09853727777646225,10
itemknn,movielens1M,0.3395011300282309,0.04871355691843012,10
listrankmf,movielens1M,0.2880495896905643,0.06091746715814344,10
randomguess,movielens1M,0.015315302871245188,0.012129780913967885,10
slim,movielens1M,0.4583505665927347,0.07318175958156069,10
svdpp,movielens1M,0.2262053415211048,0.016089023597725734,10
ranksgd,movielens1M,0.4228641282470223,0.05957044456547192,10
userknn,movielens1M,0.32218288829427566,0.08298123547999231,10
smootheditemaverage,movielens1M,0.04335868332636111,0.00486563319730898,10
optimalobservedprecision,movielens1M,0.32775765038320975,0.08515874331389002,10
optimalobservedantiprecision,movielens1M,5.801425493121166e-05,0.0,10
optimaltrueprecision,movielens1M,0.32802331883634717,0.08651780287782276,10
optimaltrueantiprecision,movielens1M,0.001527445609991607,0.0,10
optimaltrueprecisionrestricted,movielens1M,0.001778117180901865,0.0,10
optimaltrueantiprecisionrestricted,movielens1M,0.001527445609991607,0.0,10
pnmf,movielens1M,0.32416010881948226,0.10360707905461759,10
eals,movielens1M,0.45798991788549226,0.1858963531265869,10
gbpr,movielens1M,0.46988244549159514,0.15956202526316898,10
plsa,movielens1M,0.4711204118091239,0.08402930706511016,10
bpoissmf,movielens1M,0.09794088860473744,0.017866746123832152,10
wrmf,movielens1M,0.5296433109958719,0.14975485359622603,10
wbpr,movielens1M,0.13851968932774503,0.05701742269370315,10
