algorithm,dataset,mrr,antimrr,cutoff
mostpopular,movielens1M,0.326985639326153,0.09452808353388302,10
itemknn,movielens1M,0.33803993898028695,0.04280940545232177,10
listrankmf,movielens1M,0.30065984140134927,0.060306873923278236,10
randomguess,movielens1M,0.014625004931550084,0.013687155613419075,10
slim,movielens1M,0.45344070961718025,0.06750489867308425,10
svdpp,movielens1M,0.2261864651964072,0.017147591430938573,10
ranksgd,movielens1M,0.4277228074328323,0.05859246985179047,10
userknn,movielens1M,0.3116488473323602,0.08605278731210794,10
smootheditemaverage,movielens1M,0.03093738904012309,0.0035162609644796886,10
optimalobservedprecision,movielens1M,0.3319918202022593,0.07975125261372154,10
optimalobservedantiprecision,movielens1M,0.000164516510829684,0.00033830433581883454,10
optimaltrueprecision,movielens1M,0.33101418971344404,0.0778725292934075,10
optimaltrueantiprecision,movielens1M,0.0006756223616207047,0.0,10
optimaltrueprecisionrestricted,movielens1M,0.0025250193974303337,0.0,10
optimaltrueantiprecisionrestricted,movielens1M,0.0006756223616207047,0.0,10
pnmf,movielens1M,0.32403295590536685,0.09774726792125299,10
eals,movielens1M,0.45431392275219945,0.1892768374955616,10
gbpr,movielens1M,0.4682811246564353,0.1699469365210873,10
plsa,movielens1M,0.4666658776186531,0.09365638274088979,10
bpoissmf,movielens1M,0.011477360897410607,0.015652805723228257,10
wrmf,movielens1M,0.5295387356820662,0.14556292000368223,10
wbpr,movielens1M,0.14422706171670546,0.05887396273063216,10
