algorithm,dataset,mrr,antimrr,cutoff
mostpopular,movielens1M,0.3260277232200373,0.09911787364164373,10
itemknn,movielens1M,0.3369571504820801,0.04557273795720043,10
listrankmf,movielens1M,0.2770252096200415,0.05652530295979029,10
randomguess,movielens1M,0.015401321480499882,0.011077850609074727,10
slim,movielens1M,0.4546954494900495,0.06957295092958501,10
svdpp,movielens1M,0.23057501229192465,0.019039599717088535,10
ranksgd,movielens1M,0.4268365581559221,0.056238907688303086,10
userknn,movielens1M,0.31324458169331454,0.08713285269935923,10
smootheditemaverage,movielens1M,0.041577336583134165,0.005331277229571084,10
optimalobservedprecision,movielens1M,0.3300542816651811,0.08256308320909943,10
optimalobservedantiprecision,movielens1M,0.00024018552261056815,0.00014145573198082724,10
optimaltrueprecision,movielens1M,0.33174051023976486,0.08189129994662545,10
optimaltrueantiprecision,movielens1M,0.0013572388261803533,0.0,10
optimaltrueprecisionrestricted,movielens1M,0.0014668144326915242,0.0,10
optimaltrueantiprecisionrestricted,movielens1M,0.0013572388261803533,0.0,10
pnmf,movielens1M,0.3233949507139834,0.09994057807541325,10
eals,movielens1M,0.4465143519723609,0.19413589741567214,10
gbpr,movielens1M,0.4660921670860382,0.16715906670768355,10
plsa,movielens1M,0.4664684182987976,0.08817898094028624,10
bpoissmf,movielens1M,0.02370941364232734,0.008877924755016024,10
wrmf,movielens1M,0.5316470390265322,0.15049732995732662,10
wbpr,movielens1M,0.15525870886149168,0.05896186479671654,10
