algorithm,dataset,ndcg,ndcl,cutoff
mostpopular,movielens1M,0.15179230990018672,0.013859627138789193,10
itemknn,movielens1M,0.15581780688701813,0.00494907301210388,10
listrankmf,movielens1M,0.1454746763136407,0.009226550755003365,10
randomguess,movielens1M,0.004618566021966968,0.0020625993876113038,10
slim,movielens1M,0.22005511610968778,0.008022024135912995,10
svdpp,movielens1M,0.09621371773279604,0.001595754432900717,10
ranksgd,movielens1M,0.2100645162517015,0.005992499600064567,10
userknn,movielens1M,0.14444167953975903,0.012573648823658762,10
smootheditemaverage,movielens1M,0.021278726522144274,0.0006895398910618301,10
optimalobservedprecision,movielens1M,0.1573047559516692,0.011779124691611806,10
optimalobservedantiprecision,movielens1M,4.949582185346546e-05,8.581105862898029e-05,10
optimaltrueprecision,movielens1M,0.15796712698883533,0.011522023796016195,10
optimaltrueantiprecision,movielens1M,0.00019300277583030457,0.0,10
pnmf,movielens1M,0.15037967104526662,0.014242065742312017,10
eals,movielens1M,0.21605875950359346,0.03315856167567872,10
gbpr,movielens1M,0.23488907201828516,0.02710074874817025,10
plsa,movielens1M,0.24183168866274,0.012183660989801092,10
bpoissmf,movielens1M,0.004422859667425687,0.003063128180069669,10
wrmf,movielens1M,0.2801308641830455,0.020199765394140954,10
wbpr,movielens1M,0.07058930049695541,0.008959602567841082,10
