algorithm,dataset,mrr,antimrr,cutoff
mostpopular,movielens1M,0.3223766783708789,0.0960779710945411,10
itemknn,movielens1M,0.33442018121802713,0.04805966518062624,10
listrankmf,movielens1M,0.27858753830170563,0.05463513104772425,10
randomguess,movielens1M,0.017004510724477583,0.012544548335766233,10
slim,movielens1M,0.44824995725989925,0.07067213739956077,10
svdpp,movielens1M,0.21717994239949504,0.015404387106955459,10
ranksgd,movielens1M,0.4296523585960205,0.05466051209216081,10
userknn,movielens1M,0.3183362265093831,0.09154410120855853,10
smootheditemaverage,movielens1M,0.034696479530779444,0.004517036861693034,10
optimalobservedprecision,movielens1M,0.3227281335069239,0.07908542759826935,10
optimalobservedantiprecision,movielens1M,0.0009792085848423877,0.0002296129719493431,10
optimaltrueprecision,movielens1M,0.3271098486342894,0.0821996685998343,10
optimaltrueantiprecision,movielens1M,0.0006560934232848069,0.0,10
optimaltrueprecisionrestricted,movielens1M,0.0016925737431122683,0.0,10
optimaltrueantiprecisionrestricted,movielens1M,0.0006560934232848069,0.0,10
pnmf,movielens1M,0.3198912428821294,0.09799963177759367,10
eals,movielens1M,0.44775075288331295,0.18690528793677094,10
gbpr,movielens1M,0.46418004760589676,0.1620588892834129,10
plsa,movielens1M,0.4611105850791021,0.08804046501229601,10
bpoissmf,movielens1M,0.045590931208164015,0.028414802540734606,10
wrmf,movielens1M,0.52933082153049,0.14907536723609632,10
wbpr,movielens1M,0.1445341986559882,0.05910219486855774,10
