algorithm,dataset,ndcg,ndcl,cutoff
mostpopular,movielens1M,0.15215978662867094,0.015430328412062294,10
itemknn,movielens1M,0.15298685026020478,0.005304470312227786,10
listrankmf,movielens1M,0.13954837479119686,0.010316064005548357,10
randomguess,movielens1M,0.0050056207397965215,0.0016237705521003761,10
slim,movielens1M,0.22011679494382627,0.00869014435807897,10
svdpp,movielens1M,0.09869829088036615,0.0014794816191835846,10
ranksgd,movielens1M,0.20483272551517678,0.005665921274068506,10
userknn,movielens1M,0.15029934832998293,0.012516579763345614,10
smootheditemaverage,movielens1M,0.01890318083790272,0.000505272963577824,10
optimalobservedprecision,movielens1M,0.15745280246539128,0.013151772741427807,10
optimalobservedantiprecision,movielens1M,3.784120482257221e-05,6.9463804537209405e-06,10
optimaltrueprecision,movielens1M,0.15752432779863593,0.01300238710968326,10
optimaltrueantiprecision,movielens1M,0.00019063853026192877,0.0,10
pnmf,movielens1M,0.15086291382448205,0.015748937028890977,10
eals,movielens1M,0.21510661758883026,0.03144704858275156,10
gbpr,movielens1M,0.23074057200366774,0.027390636602231833,10
plsa,movielens1M,0.23510331405610752,0.01103238960871322,10
bpoissmf,movielens1M,0.00827329216932424,0.0016456352918212647,10
wrmf,movielens1M,0.27904800162875404,0.020966258579747564,10
wbpr,movielens1M,0.07283191516853278,0.01093070237981204,10
